State Name,State,Year,Award,Population,Has_Facility,State-Year,Rate,Deaths
Alaska,AK,2014,0.16281257300000002,736307.0,0,AK_2014,6.6,75.0
Alaska,AK,2015,0.11928702499999992,737547.0,0,AK_2015,6.9,78.0
Alaska,AK,2016,0.12967469399999995,741504.0,0,AK_2016,5.4,60.0
Alaska,AK,2017,0.09056051999999996,739786.0,0,AK_2017,5.6,59.0
Alabama,AL,2014,13.200416064,4842481.0,1,AL_2014,8.7,516.0
Alabama,AL,2015,14.709362580999999,4853160.0,1,AL_2015,8.3,495.0
Alabama,AL,2016,11.954378689000006,4864745.0,1,AL_2016,9.1,537.0
Alabama,AL,2017,12.687506293999993,4875120.0,1,AL_2017,7.4,434.0
Arkansas,AR,2014,0.00915396,2967726.0,0,AR_2014,7.5,290.0
Arkansas,AR,2015,0.013356855,2978407.0,0,AR_2015,7.5,293.0
Arkansas,AR,2016,0.013661044999999998,2990410.0,0,AR_2016,8.1,309.0
Arkansas,AR,2017,0.012468196999999995,3002997.0,0,AR_2017,8.2,307.0
Arizona,AZ,2014,1.0531624019999994,6733840.0,0,AZ_2014,6.1,534.0
Arizona,AZ,2015,1.5884186549999997,6833596.0,0,AZ_2015,5.5,469.0
Arizona,AZ,2016,1.6323388989999992,6945452.0,0,AZ_2016,5.4,456.0
Arizona,AZ,2017,1.6743644449999997,7048876.0,0,AZ_2017,5.7,469.0
California,CA,2014,37.512142425999954,38625139.0,1,CA_2014,4.3,2163.0
California,CA,2015,39.86296900299985,38953142.0,1,CA_2015,4.4,2169.0
California,CA,2016,43.318390481,39209127.0,1,CA_2016,4.2,2057.0
California,CA,2017,39.83818496500004,39399349.0,1,CA_2017,4.2,1973.0
Colorado,CO,2014,21.648869182000027,5351218.0,0,CO_2014,4.8,315.0
Colorado,CO,2015,21.84909499900001,5452107.0,0,CO_2015,4.6,309.0
Colorado,CO,2016,21.321384986000012,5540921.0,0,CO_2016,4.8,319.0
Colorado,CO,2017,20.872451797000025,5615902.0,0,CO_2017,4.5,291.0
Connecticut,CT,2014,0.7231846730000002,3594783.0,0,CT_2014,4.9,176.0
Connecticut,CT,2015,0.7597552779999994,3587509.0,0,CT_2015,5.6,200.0
Connecticut,CT,2016,0.7290767990000001,3578674.0,0,CT_2016,4.8,174.0
Connecticut,CT,2017,0.6717688060000007,3573880.0,0,CT_2017,4.5,160.0
Delaware,DE,2014,0.03253428300000001,932596.0,0,DE_2014,6.7,74.0
Delaware,DE,2015,0.04326593000000002,941413.0,0,DE_2015,9.0,100.0
Delaware,DE,2016,0.042156626000000016,949216.0,0,DE_2016,7.9,87.0
Delaware,DE,2017,0.04376193200000002,957078.0,0,DE_2017,6.6,72.0
Florida,FL,2014,11.301768303000006,19860330.0,1,FL_2014,6.1,1333.0
Florida,FL,2015,10.375161255,20224249.0,1,FL_2015,6.2,1400.0
